time_utc,Bx,By,Bz,Babs
2022-03-02T12:29:34.122369793Z,-1.685168,0.5669017,-0.3752674,1.817139
2022-03-02T12:29:34.184870668Z,-1.667259,0.567343,-0.3860519,1.802961
2022-03-02T12:29:34.247371543Z,-1.656335,0.5540954,-0.3965655,1.791014
2022-03-02T12:29:34.309872418Z,-1.656767,0.5498869,-0.3955683,1.789896
2022-03-02T12:29:34.372373293Z,-1.644951,0.5486452,-0.3950317,1.778461
2022-03-02T12:29:34.434874168Z,-1.679056,0.5310495,-0.3927471,1.804299
2022-03-02T12:29:34.497375043Z,-1.65974,0.5525689,-0.4075205,1.796147
2022-03-02T12:29:34.559875918Z,-1.669012,0.5312905,-0.4001591,1.796663
2022-03-02T12:29:34.622376793Z,-1.683816,0.5376744,-0.3985545,1.811954
2022-03-02T12:29:34.684877668Z,-1.6975,0.5230212,-0.4000537,1.820742
2022-03-02T12:29:34.747378543Z,-1.699406,0.4934916,-0.4110912,1.81673
2022-03-02T12:29:34.809879418Z,-1.70585,0.4726111,-0.4148986,1.818083
2022-03-02T12:29:34.872380293Z,-1.710644,0.4667298,-0.4086677,1.819656
2022-03-02T12:29:34.934881168Z,-1.702303,0.430448,-0.4050513,1.801996
2022-03-02T12:29:34.997382043Z,-1.72976,0.4206926,-0.391942,1.822819
2022-03-02T12:29:35.059882918Z,-1.705881,0.4138406,-0.4068966,1.801905
2022-03-02T12:29:35.122383793Z,-1.720946,0.4024752,-0.4415008,1.821693
2022-03-02T12:29:35.184884668Z,-1.736136,0.417318,-0.4679327,1.845883
2022-03-02T12:29:35.247385543Z,-1.738006,0.4171477,-0.4748224,1.849361
2022-03-02T12:29:35.309886418Z,-1.745462,0.4182688,-0.494553,1.861765
2022-03-02T12:29:35.372387293Z,-1.743997,0.4403133,-0.5366104,1.877059
2022-03-02T12:29:35.434888168Z,-1.749003,0.4027808,-0.5465797,1.876165
2022-03-02T12:29:35.497389043Z,-1.750744,0.3980761,-0.5534698,1.878802
2022-03-02T12:29:35.559889918Z,-1.750752,0.4089684,-0.5552945,1.881685
2022-03-02T12:29:35.622390793Z,-1.750887,0.3946867,-0.5562594,1.879045
2022-03-02T12:29:35.684891668Z,-1.754091,0.3823309,-0.5691565,1.883335
2022-03-02T12:29:35.747392543Z,-1.791845,0.3870341,-0.5524777,1.914611
2022-03-02T12:29:35.809893418Z,-1.7828,0.3980799,-0.5515834,1.908163
2022-03-02T12:29:35.872394293Z,-1.783918,0.4016377,-0.5593937,1.912224
2022-03-02T12:29:35.934895168Z,-1.769264,0.4018926,-0.5416816,1.893471
2022-03-02T12:29:35.997396043Z,-1.77823,0.3961391,-0.5613126,1.906332
2022-03-02T12:29:36.059896918Z,-1.776916,0.4069033,-0.5731478,1.91089
2022-03-02T12:29:36.122397793Z,-1.769925,0.3888558,-0.5703553,1.899776
2022-03-02T12:29:36.184898668Z,-1.759692,0.3865209,-0.5926796,1.896624
2022-03-02T12:29:36.247399543Z,-1.766496,0.3528993,-0.5915124,1.896031
2022-03-02T12:29:36.309900418Z,-1.763621,0.3307434,-0.6046895,1.893515
2022-03-02T12:29:36.372401293Z,-1.77274,0.3077826,-0.58726,1.892673
2022-03-02T12:29:36.434902168Z,-1.793125,0.2926582,-0.5622852,1.90187
2022-03-02T12:29:36.497403043Z,-1.810023,0.2864545,-0.5403656,1.910558
2022-03-02T12:29:36.559903918Z,-1.809643,0.2533559,-0.5284315,1.902166
2022-03-02T12:29:36.622404793Z,-1.824515,0.2398414,-0.5227438,1.913019
2022-03-02T12:29:36.684905668Z,-1.828976,0.2192372,-0.5155216,1.912846
2022-03-02T12:29:36.747406543Z,-1.840913,0.2168446,-0.5188654,1.924891
2022-03-02T12:29:36.809907418Z,-1.857246,0.1992037,-0.4920421,1.931619
2022-03-02T12:29:36.872408293Z,-1.8648,0.186097,-0.4825962,1.935203
2022-03-02T12:29:36.934909168Z,-1.871102,0.1754595,-0.5013149,1.945026
2022-03-02T12:29:36.997410043Z,-1.867211,0.1783708,-0.5092086,1.943601
2022-03-02T12:29:37.059910918Z,-1.866011,0.1481889,-0.5083462,1.939684
2022-03-02T12:29:37.122411793Z,-1.873612,0.1563682,-0.5187256,1.950372
2022-03-02T12:29:37.184912668Z,-1.865405,0.1409154,-0.5270047,1.943535
2022-03-02T12:29:37.247413543Z,-1.847318,0.1465,-0.5514928,1.93344
2022-03-02T12:29:37.309914418Z,-1.83343,0.1688021,-0.5504539,1.921707
2022-03-02T12:29:37.372415293Z,-1.818233,0.188308,-0.5444652,1.907321
2022-03-02T12:29:37.434916168Z,-1.820648,0.2032748,-0.5317847,1.907584
2022-03-02T12:29:37.497417043Z,-1.809664,0.2310558,-0.540569,1.902757
2022-03-02T12:29:37.559917918Z,-1.807526,0.2420138,-0.562285,1.908373
2022-03-02T12:29:37.622418793Z,-1.794124,0.2468157,-0.5734792,1.899652
2022-03-02T12:29:37.684919668Z,-1.801916,0.2683609,-0.5624456,1.906636
2022-03-02T12:29:37.747420543Z,-1.796205,0.2632032,-0.5473135,1.896096
2022-03-02T12:29:37.809921418Z,-1.805447,0.2533453,-0.5245923,1.897109
2022-03-02T12:29:37.872422293Z,-1.828115,0.2610728,-0.5201475,1.918519
2022-03-02T12:29:37.934923168Z,-1.841212,0.260689,-0.5192245,1.930703
2022-03-02T12:29:37.997424043Z,-1.846772,0.2433195,-0.5349554,1.938027
2022-03-02T12:29:38.059924918Z,-1.851852,0.2330746,-0.5395343,1.942878
2022-03-02T12:29:38.122425793Z,-1.840273,0.1845323,-0.5454159,1.928246
2022-03-02T12:29:38.184926668Z,-1.854841,0.1270151,-0.5161572,1.929504
2022-03-02T12:29:38.247427543Z,-1.85831,0.09003415,-0.502133,1.92706
2022-03-02T12:29:38.309928418Z,-1.881354,0.04555406,-0.4984557,1.946799
2022-03-02T12:29:38.372429293Z,-1.901728,0.003585547,-0.4858014,1.962801
2022-03-02T12:29:38.434930168Z,-1.896706,-0.02875564,-0.4660426,1.953334
2022-03-02T12:29:38.497431042Z,-1.923297,-0.07726116,-0.4552375,1.977949
2022-03-02T12:29:38.559931917Z,-1.919472,-0.1028588,-0.4473866,1.973603
2022-03-02T12:29:38.622432792Z,-1.927301,-0.1367604,-0.3848647,1.970105
2022-03-02T12:29:38.684933667Z,-1.940245,-0.1738177,-0.3825053,1.985214
2022-03-02T12:29:38.747434542Z,-1.927781,-0.1720345,-0.3594865,1.968544
2022-03-02T12:29:38.809935417Z,-1.950711,-0.2171718,-0.319609,1.988614
2022-03-02T12:29:38.872436292Z,-1.9666,-0.2298215,-0.2694179,1.998229
2022-03-02T12:29:38.934937167Z,-1.982925,-0.2055632,-0.2758688,2.012548
2022-03-02T12:29:38.997438042Z,-2.005362,-0.1909231,-0.2449843,2.029272
2022-03-02T12:29:39.059938917Z,-2.024745,-0.2035253,-0.2277782,2.047657
2022-03-02T12:29:39.122439792Z,-2.025789,-0.2081237,-0.1921493,2.045497
2022-03-02T12:29:39.184940667Z,-1.998685,-0.1948869,-0.1303378,2.012389
2022-03-02T12:29:39.247441542Z,-2.005027,-0.1787803,-0.09810499,2.015371
2022-03-02T12:29:39.309942417Z,-1.997256,-0.1808505,-0.08495264,2.007226
2022-03-02T12:29:39.372443292Z,-1.960887,-0.1813144,-0.04997826,1.969886
2022-03-02T12:29:39.434944167Z,-1.940978,-0.176842,0.01099272,1.949049
2022-03-02T12:29:39.497445042Z,-1.90387,-0.1881678,0.06984854,1.914421
2022-03-02T12:29:39.559945917Z,-1.893955,-0.1747824,0.1455276,1.907562
2022-03-02T12:29:39.622446792Z,-1.857119,-0.1420506,0.2253081,1.876122
2022-03-02T12:29:39.684947667Z,-1.852916,-0.1505606,0.2686666,1.878336
2022-03-02T12:29:39.747448542Z,-1.830711,-0.1417178,0.283316,1.857917
2022-03-02T12:29:39.809949417Z,-1.840801,-0.1351507,0.2994859,1.869895
2022-03-02T12:29:39.872450292Z,-1.843933,-0.1197463,0.3205192,1.875409
2022-03-02T12:29:39.934951167Z,-1.863076,-0.05206427,0.3101341,1.88943
2022-03-02T12:29:39.997452042Z,-1.850119,0.001504361,0.2948954,1.873474
2022-03-02T12:29:40.059952917Z,-1.824825,0.06261527,0.3143894,1.852767
2022-03-02T12:29:40.122453792Z,-1.813174,0.08732744,0.3378921,1.846455
2022-03-02T12:29:40.184954667Z,-1.804805,0.1058785,0.3684802,1.845077
2022-03-02T12:29:40.247455542Z,-1.810332,0.1189976,0.3714978,1.851884
2022-03-02T12:29:40.309956417Z,-1.835814,0.1511014,0.331628,1.871636
2022-03-02T12:29:40.372457292Z,-1.823351,0.201364,0.30728,1.859994
2022-03-02T12:29:40.434958167Z,-1.830784,0.2395185,0.3018218,1.870892
2022-03-02T12:29:40.497459042Z,-1.841477,0.2974107,0.3059601,1.890265
2022-03-02T12:29:40.559959917Z,-1.8125,0.3242961,0.3044432,1.866283
2022-03-02T12:29:40.622460792Z,-1.790895,0.3571621,0.2802659,1.847544
2022-03-02T12:29:40.684961667Z,-1.798185,0.3626121,0.2802059,1.85566
2022-03-02T12:29:40.747462542Z,-1.77732,0.3901908,0.2519198,1.837003
2022-03-02T12:29:40.809963417Z,-1.758999,0.4264695,0.2339753,1.82502
2022-03-02T12:29:40.872464292Z,-1.76061,0.468427,0.2141608,1.834403
2022-03-02T12:29:40.934965167Z,-1.743021,0.5426872,0.251265,1.84276
2022-03-02T12:29:40.997466042Z,-1.732582,0.6178513,0.3310053,1.868996
2022-03-02T12:29:41.059966917Z,-1.751027,0.6417172,0.358008,1.898965
2022-03-02T12:29:41.122467792Z,-1.748891,0.6668662,0.3316045,1.900866
2022-03-02T12:29:41.184968667Z,-1.809059,0.6346866,0.3004768,1.940569
2022-03-02T12:29:41.247469542Z,-1.822678,0.5792689,0.3277824,1.940399
2022-03-02T12:29:41.309970417Z,-1.82874,0.5892808,0.3488383,1.95275
2022-03-02T12:29:41.372471292Z,-1.857922,0.5896708,0.3639461,1.982938
2022-03-02T12:29:41.434972167Z,-1.876467,0.5484904,0.380738,1.991715
2022-03-02T12:29:41.497473042Z,-1.89169,0.5461811,0.3879959,2.006824
2022-03-02T12:29:41.559973917Z,-1.92197,0.4850192,0.385984,2.019454
2022-03-02T12:29:41.622474792Z,-1.944064,0.4930561,0.3636384,2.038314
2022-03-02T12:29:41.684975667Z,-1.927315,0.5003745,0.4024858,2.03148
2022-03-02T12:29:41.747476542Z,-1.906896,0.4813027,0.4647946,2.020876
2022-03-02T12:29:41.809977417Z,-1.900522,0.4748999,0.4707565,2.014727
2022-03-02T12:29:41.872478292Z,-1.912354,0.4285298,0.5726482,2.04173
2022-03-02T12:29:41.934979167Z,-1.855393,0.4444017,0.675712,2.023997
2022-03-02T12:29:41.997480042Z,-1.796184,0.4754022,0.7054129,1.987433
2022-03-02T12:29:42.059980917Z,-1.787164,0.4854327,0.709437,1.983154
2022-03-02T12:29:42.122481792Z,-1.764318,0.5142223,0.690824,1.963283
2022-03-02T12:29:42.184982667Z,-1.805192,0.5444822,0.6859799,2.006427
2022-03-02T12:29:42.247483542Z,-1.807855,0.5527006,0.7308689,2.026817
2022-03-02T12:29:42.309984417Z,-1.794347,0.6029834,0.7432905,2.033654
2022-03-02T12:29:42.372485292Z,-1.755555,0.6585394,0.7311357,2.012512
2022-03-02T12:29:42.434986167Z,-1.707159,0.7026791,0.6920219,1.971559
2022-03-02T12:29:42.497487042Z,-1.72997,0.7023707,0.6644247,1.981813
2022-03-02T12:29:42.559987917Z,-1.761275,0.6776502,0.625877,1.988221
2022-03-02T12:29:42.622488792Z,-1.761316,0.6599923,0.6278544,1.982934
2022-03-02T12:29:42.684989667Z,-1.713671,0.6612042,0.644376,1.946556
2022-03-02T12:29:42.747490542Z,-1.69893,0.7055662,0.6695423,1.95767
2022-03-02T12:29:42.809991417Z,-1.681614,0.680362,0.7236665,1.953052
2022-03-02T12:29:42.872492292Z,-1.642229,0.6677518,0.69814,1.90531
2022-03-02T12:29:42.934993167Z,-1.640472,0.793186,0.6899869,1.948429
2022-03-02T12:29:42.997494042Z,-1.644999,0.8709604,0.7015943,1.989178
2022-03-02T12:29:43.059994917Z,-1.639872,0.9010351,0.6816996,1.991422
2022-03-02T12:29:43.122495792Z,-1.659551,0.8983481,0.6507572,1.996152
2022-03-02T12:29:43.184996667Z,-1.706895,0.8910997,0.6103727,2.019927
